Actual Class\Predicted Class;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;Total
4;1;357;0;0;0;0;0;0;1;0;0;0;0;2;3;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0;0;376;0;0;0;0;0;0;0;0;0;0;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2;0;0;367;0;0;0;0;0;0;1;0;0;0;0;397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;0;0;0;0;380;20;0;0;0;0;0;0;0;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;0;0;0;11;386;2;0;0;0;0;0;0;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0;1;0;0;0;2;356;33;0;1;1;0;0;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0;0;0;0;0;0;7;391;0;0;1;0;0;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;1;0;0;0;0;0;0;356;0;0;0;0;0;0;399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;0;0;0;0;0;1;0;0;1;350;0;0;0;0;0;388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;0;0;0;0;0;0;0;0;0;0;396;0;0;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;0;0;1;0;0;0;0;0;0;0;0;352;17;0;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;0;0;0;0;0;0;0;0;0;0;0;41;356;0;0;399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;0;0;0;0;0;0;0;0;0;0;0;0;0;370;0;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;0;8;0;0;0;0;0;0;0;0;0;0;0;3;363;398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
